===2018-04-05 09:00:24.162 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/deleteTv]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.deleteTv(javax.servlet.http.HttpServletRequest,com.army.vo.TVListInfo) throws java.lang.Exception
===2018-04-05 09:00:24.163 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/findAllImgs]}" onto public com.alibaba.fastjson.JSONArray com.army.controller.WebJumpController.findAllImgs(javax.servlet.http.HttpServletRequest,com.army.vo.ImgsHisInfo) throws java.lang.Exception
===2018-04-05 09:00:24.163 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/deletemusic]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.deletemusic(javax.servlet.http.HttpServletRequest,com.army.vo.MusicInfo) throws java.lang.Exception
===2018-04-05 09:00:24.163 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/findpullNewsById],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.findpullNewsById(com.army.vo.ReptileNewsInfo) throws java.lang.Exception
===2018-04-05 09:00:24.164 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/findById],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.findById(com.army.vo.ReptileNewsInfo) throws java.lang.Exception
===2018-04-05 09:00:24.164 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/findAllTv],methods=[POST]}" onto public com.alibaba.fastjson.JSONArray com.army.controller.WebJumpController.findAllTv(com.army.vo.PreFileInfo) throws java.lang.Exception
===2018-04-05 09:00:24.164 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/insertPreFile],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.insertPreFile(javax.servlet.http.HttpServletRequest,com.army.vo.PreFileInfo) throws java.lang.Exception
===2018-04-05 09:00:24.165 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/login],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.userLogin(javax.servlet.http.HttpServletRequest,com.army.vo.UserInfo) throws java.lang.Exception
===2018-04-05 09:00:24.165 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/uploadFile],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.uploadFile(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception
===2018-04-05 09:00:24.165 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping Line:543-Mapped "{[/data/manager/updateTv],methods=[POST]}" onto public com.alibaba.fastjson.JSONObject com.army.controller.WebJumpController.updateTv(com.army.vo.PreFileInfo) throws java.lang.Exception
